#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
Unknown	NZ_AP014881.1	118	597	-	-	-	APT_RS00005	WP_003623258.1	159	YaiI/YqxD family protein
Unknown	NZ_AP014881.1	837	1364	+	-	-	APT_RS00010	WP_003623257.1	175	periplasmic heavy metal sensor
Unknown	NZ_AP014881.1	1501	2748	+	-	-	APT_RS00015	WP_035362129.1	415	multidrug effflux MFS transporter
Unknown	NZ_AP014881.1	2773	3159	-	-	-	APT_RS00020	WP_003623254.1	128	hypothetical protein
Unknown	NZ_AP014881.1	3190	3375	-	-	-	APT_RS00025	WP_003623252.1	61	MULTISPECIES: Trm112 family protein
Unknown	NZ_AP014881.1	3402	4106	-	-	-	APT_RS00030	WP_003623250.1	234	peptidase
Unknown	NZ_AP014881.1	4121	5080	-	-	-	APT_RS00035	WP_003623248.1	319	co-chaperone YbbN
Unknown	NZ_AP014881.1	5319	8183	+	-	-	APT_RS00040	WP_003623243.1	954	excinuclease ABC subunit UvrA
Unknown	NZ_AP014881.1	8183	9022	+	-	-	APT_RS00045	WP_003623241.1	279	creatininase family protein
Unknown	NZ_AP014881.1	9130	10428	+	-	-	APT_RS00050	WP_012812263.1	432	YncE family protein
Unknown	NZ_AP014881.1	10507	11742	+	-	-	APT_RS00055	WP_003623239.1	411	DUF2075 domain-containing protein
Unknown	NZ_AP014881.1	11970	12530	+	-	-	APT_RS00060	WP_003623238.1	186	NifU family protein
Unknown	NZ_AP014881.1	12597	13226	+	-	-	APT_RS00065	WP_012812265.1	209	malonic semialdehyde reductase
Unknown	NZ_AP014881.1	13223	13915	+	-	-	APT_RS00070	WP_003623236.1	230	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
Unknown	NZ_AP014881.1	13912	14370	+	-	-	APT_RS00075	WP_003623235.1	152	ribosomal-protein-alanine N-acetyltransferase
Unknown	NZ_AP014881.1	14419	15702	-	-	-	APT_RS00080	WP_003623234.1	427	phosphoribosylamine--glycine ligase
Unknown	NZ_AP014881.1	15754	17208	+	-	-	APT_RS00085	WP_003623233.1	484	exodeoxyribonuclease VII large subunit
Unknown	NZ_AP014881.1	17307	17648	+	-	-	APT_RS00090	WP_003623232.1	113	MULTISPECIES: hypothetical protein
Unknown	NZ_AP014881.1	17822	18997	+	-	-	APT_RS00100	WP_003623231.1	391	phosphoserine transaminase
Unknown	NZ_AP014881.1	19080	20471	-	-	-	APT_RS00105	WP_003624944.1	463	NAD-dependent succinate-semialdehyde dehydrogenase
Unknown	NZ_AP014881.1	20511	21539	-	-	-	APT_RS00110	WP_003624943.1	342	alcohol dehydrogenase AdhP
Unknown	NZ_AP014881.1	21615	23030	-	-	-	APT_RS00115	WP_003624942.1	471	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
Unknown	NZ_AP014881.1	23031	23357	-	-	-	APT_RS00120	WP_003624941.1	108	MULTISPECIES: NAD(P) transhydrogenase subunit alpha
Unknown	NZ_AP014881.1	23354	24577	-	-	-	APT_RS00125	WP_003624938.1	407	NAD(P) transhydrogenase subunit alpha
Unknown	NZ_AP014881.1	24912	25934	+	-	-	APT_RS00130	WP_003624937.1	340	MULTISPECIES: aspartate-semialdehyde dehydrogenase
Unknown	NZ_AP014881.1	26071	26544	+	-	-	APT_RS00135	WP_012812271.1	157	MULTISPECIES: succinate dehydrogenase, cytochrome b556 subunit
Unknown	NZ_AP014881.1	26546	26959	+	-	-	APT_RS00140	WP_003624934.1	137	succinate dehydrogenase, hydrophobic membrane anchor protein
Unknown	NZ_AP014881.1	27077	28888	+	-	-	APT_RS00145	WP_003624932.1	603	succinate dehydrogenase flavoprotein subunit
Unknown	NZ_AP014881.1	28925	29707	+	-	-	APT_RS00150	WP_003624930.1	260	MULTISPECIES: succinate dehydrogenase iron-sulfur subunit
Unknown	NZ_AP014881.1	29733	29912	-	-	-	APT_RS00155	WP_003629437.1	59	hypothetical protein
Unknown	NZ_AP014881.1	29885	30547	+	-	-	APT_RS00160	WP_003624925.1	220	MULTISPECIES: protein-tyrosine-phosphatase
Unknown	NZ_AP014881.1	30607	31500	+	-	-	APT_RS00165	WP_003624924.1	297	DMT family transporter
Unknown	NZ_AP014881.1	31563	32786	-	-	-	APT_RS00170	WP_003624922.1	407	phosphoglycerate kinase
Unknown	NZ_AP014881.1	32786	33808	-	-	-	APT_RS00175	WP_003624920.1	340	type I glyceraldehyde-3-phosphate dehydrogenase
Unknown	NZ_AP014881.1	33861	35792	-	-	-	APT_RS00180	WP_003624918.1	643	transketolase
Unknown	NZ_AP014881.1	35950	36426	+	-	-	APT_RS00185	WP_003624914.1	158	hypothetical protein
Unknown	NZ_AP014881.1	36487	37794	+	-	-	APT_RS00190	WP_012812273.1	435	5-aminolevulinate synthase
Unknown	NZ_AP014881.1	37842	38720	-	-	-	APT_RS00195	WP_003624910.1	292	DsbA family protein
Unknown	NZ_AP014881.1	38768	40225	+	-	-	APT_RS00200	WP_003624908.1	485	gamma-glutamyltranspeptidase
Unknown	NZ_AP014881.1	40476	41510	+	-	-	APT_RS00205	WP_003624906.1	344	recombinase RecA
Unknown	NZ_AP014881.1	41517	42029	-	-	-	APT_RS00210	WP_003624904.1	170	GNAT family N-acetyltransferase
Unknown	NZ_AP014881.1	42099	42464	+	-	-	APT_RS00215	WP_003624903.1	121	LysR family transcriptional regulator
Unknown	NZ_AP014881.1	42531	44075	+	-	-	APT_RS00220	WP_003624900.1	514	glucan biosynthesis protein
Unknown	NZ_AP014881.1	44063	46210	+	-	-	APT_RS00225	WP_003624898.1	715	glucans biosynthesis glucosyltransferase MdoH
Unknown	NZ_AP014881.1	46259	47362	-	-	-	APT_RS00230	WP_003624896.1	367	N-acetylglucosamine-6-phosphate deacetylase
Unknown	NZ_AP014881.1	47368	48639	-	-	-	APT_RS00235	WP_035362365.1	423	glucose/galactose MFS transporter
Unknown	NZ_AP014881.1	48674	49216	-	-	-	APT_RS00240	WP_012812280.1	180	hypothetical protein
Unknown	NZ_AP014881.1	49415	51415	+	-	-	APT_RS00250	WP_035362364.1	666	DNA polymerase III subunit gamma/tau
Unknown	NZ_AP014881.1	51515	51838	+	-	-	APT_RS00255	WP_003624890.1	107	MULTISPECIES: YbaB/EbfC family nucleoid-associated protein
Unknown	NZ_AP014881.1	51870	52466	+	-	-	APT_RS00260	WP_003624888.1	198	MULTISPECIES: recombination protein RecR
Unknown	NZ_AP014881.1	52487	53287	+	-	-	APT_RS00265	WP_003624886.1	266	SDR family oxidoreductase
Unknown	NZ_AP014881.1	53291	53692	+	-	-	APT_RS00270	WP_003624885.1	133	MULTISPECIES: dihydroneopterin aldolase
Unknown	NZ_AP014881.1	53766	54101	-	-	-	APT_RS00275	WP_003624883.1	111	TIGR02300 family protein
Unknown	NZ_AP014881.1	54345	55694	+	-	-	APT_RS00280	WP_035362368.1	449	3-phosphoshikimate 1-carboxyvinyltransferase
Unknown	NZ_AP014881.1	55691	56344	+	-	-	APT_RS00285	WP_012812283.1	217	(d)CMP kinase
