#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017121.1	388	813	-	-	-	APA07_RS00010	WP_012812257.1	141	RusA family crossover junction endodeoxyribonuclease
chr	NC_017121.1	1206	2420	-	-	-	APA07_RS00015	WP_012812258.1	404	DUF4102 domain-containing protein
chr	NC_017121.1	2681	3160	-	-	-	APA07_RS00020	WP_012812259.1	159	YaiI/YqxD family protein
chr	NC_017121.1	3400	3927	+	-	-	APA07_RS00025	WP_012812260.1	175	periplasmic heavy metal sensor
chr	NC_017121.1	4064	5311	+	-	-	APA07_RS00030	WP_012812261.1	415	multidrug effflux MFS transporter
chr	NC_017121.1	5336	5722	-	-	-	APA07_RS00035	WP_003623254.1	128	hypothetical protein
chr	NC_017121.1	5753	5938	-	-	-	APA07_RS00040	WP_003623252.1	61	MULTISPECIES: Trm112 family protein
chr	NC_017121.1	5965	6669	-	-	-	APA07_RS00045	WP_003623250.1	234	peptidase
chr	NC_017121.1	6684	7643	-	-	-	APA07_RS00050	WP_003623248.1	319	co-chaperone YbbN
chr	NC_017121.1	7882	10746	+	-	-	APA07_RS00055	WP_012812262.1	954	excinuclease ABC subunit UvrA
chr	NC_017121.1	10746	11585	+	-	-	APA07_RS00060	WP_003623241.1	279	creatininase family protein
chr	NC_017121.1	11693	12991	+	-	-	APA07_RS00065	WP_012812263.1	432	YncE family protein
chr	NC_017121.1	13071	14306	+	-	-	APA07_RS00070	WP_012812264.1	411	DUF2075 domain-containing protein
chr	NC_017121.1	14534	15094	+	-	-	APA07_RS00075	WP_003623238.1	186	NifU family protein
chr	NC_017121.1	15161	15790	+	-	-	APA07_RS00080	WP_012812265.1	209	malonic semialdehyde reductase
chr	NC_017121.1	15787	16479	+	-	-	APA07_RS00085	WP_003623236.1	230	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
chr	NC_017121.1	16476	16934	+	-	-	APA07_RS00090	WP_003623235.1	152	ribosomal-protein-alanine N-acetyltransferase
chr	NC_017121.1	16983	18266	-	-	-	APA07_RS00095	WP_003623234.1	427	phosphoribosylamine--glycine ligase
chr	NC_017121.1	18318	19772	+	-	-	APA07_RS00100	WP_003623233.1	484	exodeoxyribonuclease VII large subunit
chr	NC_017121.1	19871	20212	+	-	-	APA07_RS00105	WP_003623232.1	113	MULTISPECIES: hypothetical protein
chr	NC_017121.1	20386	21561	+	-	-	APA07_RS00115	WP_003623231.1	391	phosphoserine transaminase
chr	NC_017121.1	21645	23036	-	-	-	APA07_RS00120	WP_003624944.1	463	NAD-dependent succinate-semialdehyde dehydrogenase
chr	NC_017121.1	23076	24104	-	-	-	APA07_RS00125	WP_012812267.1	342	alcohol dehydrogenase AdhP
chr	NC_017121.1	24180	25595	-	-	-	APA07_RS00130	WP_012812268.1	471	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
chr	NC_017121.1	25596	25922	-	-	-	APA07_RS00135	WP_003624941.1	108	MULTISPECIES: NAD(P) transhydrogenase subunit alpha
chr	NC_017121.1	25919	27142	-	-	-	APA07_RS00140	WP_082179742.1	407	NAD(P) transhydrogenase subunit alpha
chr	NC_017121.1	27476	28498	+	-	-	APA07_RS00145	WP_003624937.1	340	MULTISPECIES: aspartate-semialdehyde dehydrogenase
chr	NC_017121.1	28635	29108	+	-	-	APA07_RS00150	WP_012812271.1	157	MULTISPECIES: succinate dehydrogenase, cytochrome b556 subunit
chr	NC_017121.1	29110	29523	+	-	-	APA07_RS00155	WP_003624934.1	137	succinate dehydrogenase, hydrophobic membrane anchor protein
chr	NC_017121.1	29641	31452	+	-	-	APA07_RS00160	WP_003624932.1	603	succinate dehydrogenase flavoprotein subunit
chr	NC_017121.1	31489	32271	+	-	-	APA07_RS00165	WP_003624930.1	260	MULTISPECIES: succinate dehydrogenase iron-sulfur subunit
chr	NC_017121.1	32297	32476	-	-	-	APA07_RS15815	WP_003629437.1	59	hypothetical protein
chr	NC_017121.1	32449	33111	+	-	-	APA07_RS00170	WP_003624925.1	220	MULTISPECIES: protein-tyrosine-phosphatase
chr	NC_017121.1	33171	34064	+	-	-	APA07_RS00175	WP_012812272.1	297	DMT family transporter
chr	NC_017121.1	34128	35351	-	-	-	APA07_RS00180	WP_003629435.1	407	MULTISPECIES: phosphoglycerate kinase
chr	NC_017121.1	35351	36373	-	-	-	APA07_RS00185	WP_003624920.1	340	type I glyceraldehyde-3-phosphate dehydrogenase
chr	NC_017121.1	36426	38357	-	-	-	APA07_RS00190	WP_003624918.1	643	transketolase
chr	NC_017121.1	38515	38991	+	-	-	APA07_RS00195	WP_003624914.1	158	hypothetical protein
chr	NC_017121.1	39052	40359	+	-	-	APA07_RS00200	WP_012812273.1	435	5-aminolevulinate synthase
chr	NC_017121.1	40407	41285	-	-	-	APA07_RS00205	WP_003624910.1	292	DsbA family protein
chr	NC_017121.1	41333	42790	+	-	-	APA07_RS00210	WP_003624908.1	485	gamma-glutamyltranspeptidase
chr	NC_017121.1	43041	44075	+	-	-	APA07_RS00215	WP_003624906.1	344	recombinase RecA
chr	NC_017121.1	44082	44594	-	-	-	APA07_RS00220	WP_012812275.1	170	GNAT family N-acetyltransferase
chr	NC_017121.1	44664	45029	+	-	-	APA07_RS00225	WP_003624903.1	121	LysR family transcriptional regulator
chr	NC_017121.1	45096	46640	+	-	-	APA07_RS00230	WP_012812276.1	514	glucan biosynthesis protein
chr	NC_017121.1	46628	48775	+	-	-	APA07_RS00235	WP_041632439.1	715	glucans biosynthesis glucosyltransferase MdoH
chr	NC_017121.1	48824	49927	-	-	-	APA07_RS00240	WP_012812278.1	367	N-acetylglucosamine-6-phosphate deacetylase
chr	NC_017121.1	49933	51204	-	-	-	APA07_RS00245	WP_012812279.1	423	glucose/galactose MFS transporter
chr	NC_017121.1	51238	51780	-	-	-	APA07_RS00250	WP_012812280.1	180	hypothetical protein
chr	NC_017121.1	51979	53952	+	-	-	APA07_RS00255	WP_012812281.1	657	DNA polymerase III subunit gamma/tau
chr	NC_017121.1	54052	54375	+	-	-	APA07_RS00260	WP_003624890.1	107	MULTISPECIES: YbaB/EbfC family nucleoid-associated protein
chr	NC_017121.1	54407	55003	+	-	-	APA07_RS00265	WP_003624888.1	198	MULTISPECIES: recombination protein RecR
chr	NC_017121.1	55024	55824	+	-	-	APA07_RS00270	WP_003624886.1	266	SDR family oxidoreductase
chr	NC_017121.1	55828	56229	+	-	-	APA07_RS00275	WP_003624885.1	133	MULTISPECIES: dihydroneopterin aldolase
chr	NC_017121.1	56303	56638	-	-	-	APA07_RS00280	WP_003624883.1	111	TIGR02300 family protein
chr	NC_017121.1	56882	58231	+	-	-	APA07_RS00285	WP_035362368.1	449	3-phosphoshikimate 1-carboxyvinyltransferase
chr	NC_017121.1	58228	58881	+	-	-	APA07_RS00290	WP_012812283.1	217	(d)CMP kinase
chr	NC_017121.1	59166	60884	+	-	-	APA07_RS00295	WP_003624876.1	572	30S ribosomal protein S1
chr	NC_017121.1	61148	62350	+	-	-	APA07_RS00305	WP_003624872.1	400	gluconolactonase
chr	NC_017121.1	62369	62968	-	-	-	APA07_RS00310	WP_003624870.1	199	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase
chr	NC_017121.1	62965	63699	-	-	-	APA07_RS00315	WP_003624868.1	244	ribonuclease PH
chr	NC_017121.1	63826	64899	+	-	hrcA	APA07_RS00320	WP_003624866.1	357	MULTISPECIES: heat-inducible transcriptional repressor HrcA
chr	NC_017121.1	64995	67757	+	-	-	APA07_RS00325	WP_003624865.1	920	PBP1A family penicillin-binding protein
chr	NC_017121.1	67879	68946	+	-	-	APA07_RS00330	WP_076027024.1	355	peptide chain release factor 2
chr	NC_017121.1	69289	70038	+	-	-	APA07_RS00335	WP_012812286.1	249	MULTISPECIES: energy transducer TonB
chr	NC_017121.1	70129	71121	+	-	-	APA07_RS00340	WP_041632440.1	330	MotA/TolQ/ExbB proton channel family protein
chr	NC_017121.1	71155	71574	+	-	-	APA07_RS00345	WP_003627566.1	139	biopolymer transporter ExbD
chr	NC_017121.1	71629	72069	+	-	-	APA07_RS00350	WP_012812288.1	146	MULTISPECIES: biopolymer transporter ExbD
chr	NC_017121.1	72082	73311	+	-	-	APA07_RS00355	WP_003629855.1	409	hypothetical protein
chr	NC_017121.1	73400	74566	-	-	-	APA07_RS00360	WP_012812289.1	388	rod shape-determining protein RodA
chr	NC_017121.1	74563	76491	-	-	-	APA07_RS00365	WP_003629851.1	642	MULTISPECIES: penicillin-binding protein 2
chr	NC_017121.1	76511	77074	-	-	-	APA07_RS00370	WP_003629849.1	187	MULTISPECIES: hypothetical protein
chr	NC_017121.1	77080	77994	-	-	-	APA07_RS00375	WP_004449250.1	304	rod shape-determining protein MreC
chr	NC_017121.1	78090	79136	-	-	-	APA07_RS00380	WP_003629847.1	348	MULTISPECIES: rod shape-determining protein
chr	NC_017121.1	79341	80930	-	-	-	APA07_RS00385	WP_004449247.1	529	2-isopropylmalate synthase
chr	NC_017121.1	81226	82305	-	-	-	APA07_RS00390	WP_003629845.1	359	hypothetical protein
chr	NC_017121.1	82290	83069	+	-	-	APA07_RS00395	WP_003629844.1	259	TVP38/TMEM64 family protein
chr	NC_017121.1	83231	84493	+	-	-	APA07_RS00400	WP_012812292.1	420	multidrug effflux MFS transporter
chr	NC_017121.1	84597	86840	+	-	-	APA07_RS00405	WP_012812293.1	747	response regulator
chr	NC_017121.1	87002	87535	+	-	-	APA07_RS00410	WP_003629841.1	177	MULTISPECIES: adenine phosphoribosyltransferase
chr	NC_017121.1	87680	89914	+	-	-	APA07_RS00415	WP_012812295.1	744	FUSC family protein
chr	NC_017121.1	89978	91273	+	-	-	APA07_RS00420	WP_012812296.1	431	glycerate kinase
chr	NC_017121.1	91280	91861	-	-	-	APA07_RS00425	WP_035362200.1	193	uracil-DNA glycosylase
chr	NC_017121.1	92052	93470	-	-	-	APA07_RS00430	WP_004449230.1	472	cytochrome c
chr	NC_017121.1	93523	95751	-	-	-	APA07_RS00435	WP_003629834.1	742	PQQ-dependent dehydrogenase, methanol/ethanol family
chr	NC_017121.1	95960	96523	-	-	-	APA07_RS00440	WP_004449225.1	187	hypothetical protein
chr	NC_017121.1	96711	97487	+	-	-	APA07_RS00445	WP_012812298.1	258	Bax inhibitor-1/YccA family protein
chr	NC_017121.1	97647	97859	-	-	-	APA07_RS00450	WP_035365856.1	70	hypothetical protein
chr	NC_017121.1	98099	99025	+	-	-	APA07_RS00455	WP_006116679.1	308	MULTISPECIES: ubiquinol oxidase subunit II
chr	NC_017121.1	99031	101022	+	-	-	APA07_RS00460	WP_012812299.1	663	cytochrome o ubiquinol oxidase subunit I
chr	NC_017121.1	101024	101629	+	-	-	APA07_RS00465	WP_003629826.1	201	MULTISPECIES: cytochrome o ubiquinol oxidase subunit III
chr	NC_017121.1	101629	101961	+	-	-	APA07_RS00470	WP_003629825.1	110	MULTISPECIES: cytochrome o ubiquinol oxidase subunit IV
chr	NC_017121.1	101990	102190	+	-	-	APA07_RS00475	WP_012812301.1	66	hypothetical protein
chr	NC_017121.1	102231	102563	-	-	-	APA07_RS00480	WP_012812302.1	110	MULTISPECIES: ferredoxin family protein
chr	NC_017121.1	102734	105322	-	-	-	APA07_RS00485	WP_052583182.1	862	DEAD/DEAH box helicase
chr	NC_017121.1	105284	106870	+	-	-	APA07_RS00490	WP_012812304.1	528	leucyl aminopeptidase family protein
chr	NC_017121.1	107026	107442	+	-	-	APA07_RS00495	WP_035353907.1	138	MULTISPECIES: MarR family transcriptional regulator
chr	NC_017121.1	107583	108029	+	-	-	APA07_RS00500	WP_003629818.1	148	MULTISPECIES: hypothetical protein
chr	NC_017121.1	108039	109136	-	-	-	APA07_RS00505	WP_012812306.1	365	UDP-phosphate alpha-N-acetylglucosaminephosphotransferase
chr	NC_017121.1	109130	111160	+	-	-	APA07_RS00510	WP_004449205.1	676	polysaccharide biosynthesis protein
chr	NC_017121.1	111157	112293	+	-	-	APA07_RS00515	WP_004449204.1	378	DegT/DnrJ/EryC1/StrS family aminotransferase
chr	NC_017121.1	112310	112774	+	-	-	APA07_RS00520	WP_004449202.1	154	hypothetical protein
chr	NC_017121.1	112868	114232	-	-	-	APA07_RS00525	WP_012812307.1	454	dihydroorotase
chr	NC_017121.1	114239	115636	-	-	-	APA07_RS00530	WP_012812308.1	465	glutathione-disulfide reductase
chr	NC_017121.1	115697	116593	-	-	-	APA07_RS00535	WP_003629809.1	298	ferredoxin--NADP reductase
