#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
I	NZ_LN606600.1	97	456	+	34784953	-	ASN_RS19120	WP_058986867.1	119	transposase
I	NZ_LN606600.1	453	800	+	34781313	-	ASN_RS00010	WP_010510701.1	115	MULTISPECIES: IS66 family insertion sequence element accessory protein TnpB
I	NZ_LN606600.1	864	2474	+	34781314	-	ASN_RS00015	WP_058986868.1	536	IS66 family transposase
I	NZ_LN606600.1	3463	3711	-	34781316	-	ASN_RS00025	WP_058986869.1	82	hypothetical protein
I	NZ_LN606600.1	6451	6813	-	34781318	-	ASN_RS00035	WP_058986870.1	120	hypothetical protein
I	NZ_LN606600.1	6863	7321	-	34781319	-	ASN_RS00040	WP_006557105.1	152	MULTISPECIES: large conductance mechanosensitive channel protein MscL
I	NZ_LN606600.1	7601	7828	+	34781320	-	ASN_RS00045	WP_006557103.1	75	MULTISPECIES: 50S ribosomal protein L31
I	NZ_LN606600.1	8026	8538	+	34781321	-	ASN_RS00050	WP_058986871.1	170	Hsp20 family protein
I	NZ_LN606600.1	8748	9350	+	34781322	-	ASN_RS00055	WP_039903101.1	200	MULTISPECIES: DUF1013 domain-containing protein
I	NZ_LN606600.1	9416	9580	-	34781323	-	ASN_RS00060	WP_081473503.1	54	MULTISPECIES: DUF465 domain-containing protein
I	NZ_LN606600.1	9815	10021	+	34781324	-	ASN_RS00065	WP_006557097.1	68	MULTISPECIES: DUF465 domain-containing protein
I	NZ_LN606600.1	10055	10594	+	34781325	purE	ASN_RS00070	WP_081939114.1	179	MULTISPECIES: 5-(carboxyamino)imidazole ribonucleotide mutase
I	NZ_LN606600.1	10591	11796	+	34781326	-	ASN_RS00075	WP_058986872.1	401	5-(carboxyamino)imidazole ribonucleotide synthase
I	NZ_LN606600.1	11818	12558	-	34781327	-	ASN_RS00080	WP_082666758.1	246	DNA repair protein RadC
I	NZ_LN606600.1	12600	13412	-	34781328	-	ASN_RS00085	WP_058986873.1	270	DNA repair protein RadC
I	NZ_LN606600.1	13527	15692	+	34781329	-	ASN_RS00090	WP_058989019.1	721	DNA helicase II
I	NZ_LN606600.1	15692	16603	+	34781330	-	ASN_RS00095	WP_058986874.1	303	methyltransferase domain-containing protein
I	NZ_LN606600.1	16688	18472	+	34781331	-	ASN_RS00100	WP_058986875.1	594	aminopeptidase P family protein
I	NZ_LN606600.1	18567	19598	+	34781332	-	ASN_RS00105	WP_006557089.1	343	MULTISPECIES: isocitrate dehydrogenase
I	NZ_LN606600.1	19724	20440	+	34781333	-	ASN_RS00110	WP_058989020.1	238	NUDIX hydrolase
I	NZ_LN606600.1	20509	21648	+	34781334	-	ASN_RS00115	WP_099048329.1	379	MFS transporter
I	NZ_LN606600.1	21938	23080	-	34781335	-	ASN_RS00120	WP_058986877.1	380	hypothetical protein
I	NZ_LN606600.1	23439	24986	-	34781336	-	ASN_RS00125	WP_035382376.1	515	MULTISPECIES: peptide chain release factor 3
I	NZ_LN606600.1	25089	25706	-	34781337	-	ASN_RS00130	WP_039903125.1	205	MULTISPECIES: 30S ribosomal protein S4
I	NZ_LN606600.1	26069	26623	+	34781338	-	ASN_RS00135	WP_058986878.1	184	HdeD family acid-resistance protein
I	NZ_LN606600.1	26716	29334	-	34781339	-	ASN_RS00140	WP_058986879.1	872	cyclic nucleotide-binding domain-containing protein
I	NZ_LN606600.1	31176	31355	+	34781341	-	ASN_RS00150	WP_006557079.1	59	MULTISPECIES: hypothetical protein
I	NZ_LN606600.1	31709	33277	+	34781342	-	ASN_RS00155	WP_099048330.1	522	ABC transporter substrate-binding protein
I	NZ_LN606600.1	33792	34088	+	34781343	-	ASN_RS00160	WP_058986881.1	98	hypothetical protein
I	NZ_LN606600.1	34109	35551	+	34781344	-	ASN_RS00165	WP_058986882.1	480	PepSY domain-containing protein
I	NZ_LN606600.1	35515	35871	+	34781345	-	ASN_RS00170	WP_082666522.1	118	DUF3325 family protein
I	NZ_LN606600.1	35936	36937	-	34781346	-	ASN_RS00175	WP_058989021.1	333	alpha/beta hydrolase
I	NZ_LN606600.1	37579	38628	-	34781347	pstS	ASN_RS00180	WP_058986884.1	349	phosphate ABC transporter substrate-binding protein PstS
I	NZ_LN606600.1	38687	41146	-	34781348	-	ASN_RS00185	WP_058986885.1	819	phenylalanine--tRNA ligase subunit beta
I	NZ_LN606600.1	41150	42220	-	34781349	-	ASN_RS00190	WP_058986886.1	356	phenylalanine--tRNA ligase subunit alpha
I	NZ_LN606600.1	42427	42786	-	34781350	-	ASN_RS00195	WP_006557068.1	119	MULTISPECIES: 50S ribosomal protein L20
I	NZ_LN606600.1	42801	43004	-	34781351	-	ASN_RS00200	WP_006557067.1	67	MULTISPECIES: 50S ribosomal protein L35
I	NZ_LN606600.1	43463	44938	+	34781352	-	ASN_RS00205	WP_058986887.1	491	mannitol dehydrogenase family protein
I	NZ_LN606600.1	45320	46648	+	34781353	-	ASN_RS00210	WP_039903083.1	442	MULTISPECIES: cytochrome c
I	NZ_LN606600.1	46669	47145	+	34781354	-	ASN_RS00215	WP_006557063.1	158	MULTISPECIES: (2Fe-2S)-binding protein
I	NZ_LN606600.1	47138	49462	+	34781355	-	ASN_RS00220	WP_058986888.1	774	xanthine dehydrogenase family protein molybdopterin-binding subunit
I	NZ_LN606600.1	49922	51034	-	34781356	-	ASN_RS00225	WP_058989022.1	370	hypothetical protein
