#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NC_017146.1	388	813	-	-	-	APA26_RS00010	WP_012812257.1	141	RusA family crossover junction endodeoxyribonuclease
chr	NC_017146.1	1206	2420	-	-	-	APA26_RS00015	WP_012812258.1	404	DUF4102 domain-containing protein
chr	NC_017146.1	2681	3160	-	-	-	APA26_RS00020	WP_012812259.1	159	YaiI/YqxD family protein
chr	NC_017146.1	3400	3927	+	-	-	APA26_RS00025	WP_012812260.1	175	periplasmic heavy metal sensor
chr	NC_017146.1	4064	5311	+	-	-	APA26_RS00030	WP_012812261.1	415	multidrug effflux MFS transporter
chr	NC_017146.1	5336	5722	-	-	-	APA26_RS00035	WP_003623254.1	128	hypothetical protein
chr	NC_017146.1	5753	5938	-	-	-	APA26_RS00040	WP_003623252.1	61	MULTISPECIES: Trm112 family protein
chr	NC_017146.1	5965	6669	-	-	-	APA26_RS00045	WP_003623250.1	234	peptidase
chr	NC_017146.1	6684	7643	-	-	-	APA26_RS00050	WP_003623248.1	319	co-chaperone YbbN
chr	NC_017146.1	7882	10746	+	-	-	APA26_RS00055	WP_012812262.1	954	excinuclease ABC subunit UvrA
chr	NC_017146.1	10746	11585	+	-	-	APA26_RS00060	WP_003623241.1	279	creatininase family protein
chr	NC_017146.1	11693	12991	+	-	-	APA26_RS00065	WP_012812263.1	432	YncE family protein
chr	NC_017146.1	13071	14306	+	-	-	APA26_RS00070	WP_012812264.1	411	DUF2075 domain-containing protein
chr	NC_017146.1	14534	15094	+	-	-	APA26_RS00075	WP_003623238.1	186	NifU family protein
chr	NC_017146.1	15161	15790	+	-	-	APA26_RS00080	WP_012812265.1	209	malonic semialdehyde reductase
chr	NC_017146.1	15787	16479	+	-	-	APA26_RS00085	WP_003623236.1	230	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
chr	NC_017146.1	16476	16934	+	-	-	APA26_RS00090	WP_003623235.1	152	ribosomal-protein-alanine N-acetyltransferase
chr	NC_017146.1	16983	18266	-	-	-	APA26_RS00095	WP_003623234.1	427	phosphoribosylamine--glycine ligase
chr	NC_017146.1	18318	19772	+	-	-	APA26_RS00100	WP_003623233.1	484	exodeoxyribonuclease VII large subunit
chr	NC_017146.1	19871	20212	+	-	-	APA26_RS00105	WP_003623232.1	113	MULTISPECIES: hypothetical protein
chr	NC_017146.1	20386	21561	+	-	-	APA26_RS00115	WP_003623231.1	391	phosphoserine transaminase
chr	NC_017146.1	21645	23036	-	-	-	APA26_RS00120	WP_003624944.1	463	NAD-dependent succinate-semialdehyde dehydrogenase
chr	NC_017146.1	23076	24104	-	-	-	APA26_RS00125	WP_012812267.1	342	alcohol dehydrogenase AdhP
chr	NC_017146.1	24180	25595	-	-	-	APA26_RS00130	WP_012812268.1	471	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta
chr	NC_017146.1	25596	25922	-	-	-	APA26_RS00135	WP_003624941.1	108	MULTISPECIES: NAD(P) transhydrogenase subunit alpha
chr	NC_017146.1	25919	27142	-	-	-	APA26_RS00140	WP_082179742.1	407	NAD(P) transhydrogenase subunit alpha
chr	NC_017146.1	27476	28498	+	-	-	APA26_RS00145	WP_003624937.1	340	MULTISPECIES: aspartate-semialdehyde dehydrogenase
chr	NC_017146.1	28635	29108	+	-	-	APA26_RS00150	WP_012812271.1	157	MULTISPECIES: succinate dehydrogenase, cytochrome b556 subunit
chr	NC_017146.1	29110	29523	+	-	-	APA26_RS00155	WP_003624934.1	137	succinate dehydrogenase, hydrophobic membrane anchor protein
chr	NC_017146.1	29641	31452	+	-	-	APA26_RS00160	WP_003624932.1	603	succinate dehydrogenase flavoprotein subunit
chr	NC_017146.1	31489	32271	+	-	-	APA26_RS00165	WP_003624930.1	260	MULTISPECIES: succinate dehydrogenase iron-sulfur subunit
chr	NC_017146.1	32297	32476	-	-	-	APA26_RS15820	WP_003629437.1	59	hypothetical protein
chr	NC_017146.1	32449	33111	+	-	-	APA26_RS00170	WP_003624925.1	220	MULTISPECIES: protein-tyrosine-phosphatase
chr	NC_017146.1	33171	34064	+	-	-	APA26_RS00175	WP_012812272.1	297	DMT family transporter
chr	NC_017146.1	34128	35351	-	-	-	APA26_RS00180	WP_003629435.1	407	MULTISPECIES: phosphoglycerate kinase
chr	NC_017146.1	35351	36373	-	-	-	APA26_RS00185	WP_003624920.1	340	type I glyceraldehyde-3-phosphate dehydrogenase
chr	NC_017146.1	36426	38357	-	-	-	APA26_RS00190	WP_003624918.1	643	transketolase
chr	NC_017146.1	38515	38991	+	-	-	APA26_RS00195	WP_003624914.1	158	hypothetical protein
chr	NC_017146.1	39052	40359	+	-	-	APA26_RS00200	WP_012812273.1	435	5-aminolevulinate synthase
chr	NC_017146.1	40407	41285	-	-	-	APA26_RS00205	WP_003624910.1	292	DsbA family protein
chr	NC_017146.1	41333	42790	+	-	-	APA26_RS00210	WP_003624908.1	485	gamma-glutamyltranspeptidase
chr	NC_017146.1	43041	44075	+	-	-	APA26_RS00215	WP_003624906.1	344	recombinase RecA
chr	NC_017146.1	44082	44594	-	-	-	APA26_RS00220	WP_012812275.1	170	GNAT family N-acetyltransferase
chr	NC_017146.1	44664	45029	+	-	-	APA26_RS00225	WP_003624903.1	121	LysR family transcriptional regulator
chr	NC_017146.1	45096	46640	+	-	-	APA26_RS00230	WP_012812276.1	514	glucan biosynthesis protein
chr	NC_017146.1	46628	48775	+	-	-	APA26_RS00235	WP_041632439.1	715	glucans biosynthesis glucosyltransferase MdoH
